x_m,y_bed_cm,dataset
0.50,0.00,Das Exp-05_SFR7 (24.8cm d/s)
0.80,0.00,Das Exp-05_SFR7 (24.8cm d/s)
1.00,-0.20,Das Exp-05_SFR7 (24.8cm d/s)
1.08,-0.50,Das Exp-05_SFR7 (24.8cm d/s)
1.15,-1.00,Das Exp-05_SFR7 (24.8cm d/s)
1.20,-1.80,Das Exp-05_SFR7 (24.8cm d/s)
1.248,-2.85,Das Exp-05_SFR7 (24.8cm d/s)
1.30,-2.10,Das Exp-05_SFR7 (24.8cm d/s)
1.38,-1.10,Das Exp-05_SFR7 (24.8cm d/s)
1.48,0.90,Das Exp-05_SFR7 (24.8cm d/s)
1.65,0.40,Das Exp-05_SFR7 (24.8cm d/s)
2.00,0.00,Das Exp-05_SFR7 (24.8cm d/s)
0.50,0.00,Das Exp-05_SFR2 (21.7cm d/s)
0.80,0.00,Das Exp-05_SFR2 (21.7cm d/s)
1.00,-0.15,Das Exp-05_SFR2 (21.7cm d/s)
1.15,-0.75,Das Exp-05_SFR2 (21.7cm d/s)
1.217,-1.90,Das Exp-05_SFR2 (21.7cm d/s)
1.28,-1.30,Das Exp-05_SFR2 (21.7cm d/s)
1.35,-0.60,Das Exp-05_SFR2 (21.7cm d/s)
1.45,0.50,Das Exp-05_SFR2 (21.7cm d/s)
1.65,0.20,Das Exp-05_SFR2 (21.7cm d/s)
2.00,0.00,Das Exp-05_SFR2 (21.7cm d/s)
